ABU SAKARA,CPP,32,2012,OKAIKWEI NORTH,P
JACOB OSEI YEBOAH,IND,6,2012,OKAIKWEI NORTH,P
ELIZABETH KWATSOE TAWIAH SACKEY,NPP,27268,2012,OKAIKWEI NORTH,M
ABDUL NASIRU ABASS,NDC,25357,2012,OKAIKWEI NORTH,M
NUHU UMAR,PPP,1048,2012,OKAIKWEI NORTH,M
AISHA SULLEY FUTA,CPP,741,2012,OKAIKWEI NORTH,M
ANDREW NII OKAIKOI,IND,232,2012,OKAIKWEI NORTH,M
RICHARD KWASHIE KUDJORDJIE,NDP,177,2012,OKAIKWEI NORTH,M
IBRAHAIM BALU KARIM,PNC,84,2012,OKAIKWEI NORTH,M
KENNEDY ANTWI,IPP,53,2012,OKAIKWEI NORTH,M
JOHN MAHAMA,NDC,30269,2012,Okaikwei South,P
HENRY LARTEY,GCPP,61,2012,Okaikwei South,P
NANA AKUFO-ADDO,NPP,39690,2012,Okaikwei South,P
PAA KWESI NDUOM,PPP,374,2012,Okaikwei South,P
AKWASI ADAE,UFP,6,2012,Okaikwei South,P
HASSAN AYARIGA,PNC,18,2012,Okaikwei South,P
ABU SAKARA,CPP,92,2012,Okaikwei South,P
JACOB OSEI YEBOAH,IND,5,2012,Okaikwei South,P
AHMED ARTHUR,NPP,38399,2012,Okaikwei South,M
ALEXANDER ACKUAKU,NDC,28568,2012,Okaikwei South,M
JOHN A KWARTENG,PPP,1005,2012,Okaikwei South,M
VIVIAN NTIRIWAA ADDAE,IND,881,2012,Okaikwei South,M
HARRIET ANITA ABAIDOO,CPP,765,2012,Okaikwei South,M
SAMUEL ASHILEY,NDP,90,2012,Okaikwei South,M
JERRY OWUSU APPAUH,IPP,35,2012,Okaikwei South,M
JOHN MAHAMA,NDC,18652,2012,SEGE,P
HENRY LARTEY,GCPP,101,2012,SEGE,P
NANA AKUFO-ADDO,NPP,5375,2012,SEGE,P
PAA KWESI NDUOM,PPP,167,2012,SEGE,P
AKWASI ADAE,UFP,28,2012,SEGE,P
HASSAN AYARIGA,PNC,51,2012,SEGE,P
ABU SAKARA,CPP,86,2012,SEGE,P
JACOB OSEI YEBOAH,IND,30,2012,SEGE,P
