ABU SAKARA,,CPP,29,2012,HEMANG LOWER DENKYIRA,,,P
JACOB OSEI YEBOAH,,IND,24,2012,HEMANG LOWER DENKYIRA,,,P
FOSTER JOSEPH ANDOH,,NDC,13178,2012,HEMANG LOWER DENKYIRA,,,M
LAWRENCE AGYINSAM,,NPP,13147,2012,HEMANG LOWER DENKYIRA,,,M
JOHN MAHAMA,,NDC,31775,2012,Keea,,,P
HENRY LARTEY,,GCPP,256,2012,Keea,,,P
NANA AKUFO-ADDO,,NPP,19699,2012,Keea,,,P
PAA KWESI NDUOM,,PPP,4970,2012,Keea,,,P
AKWASI ADAE,,UFP,77,2012,Keea,,,P
HASSAN AYARIGA,,PNC,90,2012,Keea,,,P
ABU SAKARA,,CPP,122,2012,Keea,,,P
JACOB OSEI YEBOAH,,IND,197,2012,Keea,,,P
DR. STEPHEN NANA ATO ARTHUR,,NPP,22151,2012,Keea,,,M
DR. ATO QUARSHIE,,IPC,15561,2012,Keea,,,M
DR. JOSEPH SAMUEL ANNAN,,NDC,13962,2012,Keea,,,M
DOREEN THOMAS MANIESON,,PPP,6233,2012,Keea,,,M
OKATAKYI NANA KWEKU ACKON,,DPP,142,2012,Keea,,,M
JOHN MAHAMA,,NDC,33752,2012,,Mfantsiman,,P
HENRY LARTEY,,GCPP,238,2012,,Mfantsiman,,P
NANA AKUFO-ADDO,,NPP,26446,2012,,Mfantsiman,,P
PAA KWESI NDUOM,,PPP,1036,2012,,Mfantsiman,,P
AKWASI ADAE,,UFP,58,2012,,Mfantsiman,,P
HASSAN AYARIGA,,PNC,45,2012,,Mfantsiman,,P
ABU SAKARA,,CPP,76,2012,,Mfantsiman,,P
JACOB OSEI YEBOAH,,IND,32,2012,,Mfantsiman,,P
AQUINAS TAWIA QUANSAH,,NDC,31837,2012,,Mfantsiman,,M
STEPHEN ASAMOAH - BOATENG,,NPP,29476,2012,,Mfantsiman,,M
ERNEST KWAMENAABAKA BAIDEN,,PPP,846,2012,,Mfantsiman,,M
BONAVENTURE WILLIM APPIAH,,CPP,150,2012,,Mfantsiman,,M
EUGENE AKOTO AMANFU,,UFP,103,2012,,Mfantsiman,,M
VERONICA ESI ADU-BOATENG,,NDP,69,2012,,Mfantsiman,,M
JOHN MAHAMA,,NDC,21999,2012,,Twifo Atti Morkwaa,,P
HENRY LARTEY,,GCPP,213,2012,,Twifo Atti Morkwaa,,P
NANA AKUFO-ADDO,,NPP,15260,2012,,Twifo Atti Morkwaa,,P
PAA KWESI NDUOM,,PPP,159,2012,,Twifo Atti Morkwaa,,P
AKWASI ADAE,,UFP,40,2012,,Twifo Atti Morkwaa,,P
HASSAN AYARIGA,,PNC,49,2012,,Twifo Atti Morkwaa,,P
ABU SAKARA,,CPP,60,2012,,Twifo Atti Morkwaa,,P
JACOB OSEI YEBOAH,,IND,84,2012,,Twifo Atti Morkwaa,,P
SAMUEL ATO AMOAH,,NDC,19410,2012,,Twifo Atti Morkwaa,,M
FRANCIS OWUSU-MENSAH,,NPP,15150,2012,,Twifo Atti Morkwaa,,M
RINGO GOTTAH,,IND,3511,2012,,Twifo Atti Morkwaa,,M
SETH KWAME OFORI,,NDP,177,2012,,Twifo Atti Morkwaa,,M
JOHN MAHAMA,,NDC,15707,2012,,UPPER DENKYIRA EAST,,P
HENRY LARTEY,,GCPP,157,2012,,UPPER DENKYIRA EAST,,P
NANA AKUFO-ADDO,,NPP,22923,2012,,UPPER DENKYIRA EAST,,P
PAA KWESI NDUOM,,PPP,321,2012,,UPPER DENKYIRA EAST,,P
AKWASI ADAE,,UFP,33,2012,,UPPER DENKYIRA EAST,,P
